coupling_strength,seed,mean_jitter,accuracy
0.0,0,21.13,0.7666666666666667
0.0,1,18.4,0.6333333333333333
0.0,2,19.04,0.6666666666666666
0.0,3,19.04,0.8
0.0,4,21.08,0.7333333333333333
0.0,5,19.96,0.5666666666666667
0.0,6,19.75,0.8
0.0,7,19.7,0.5333333333333333
0.0,8,20.57,0.8333333333333334
0.0,9,20.68,0.7666666666666667
0.0,10,19.82,0.5333333333333333
0.0,11,18.86,0.6
0.0,12,19.31,0.7666666666666667
0.0,13,20.48,0.8
0.0,14,19.03,0.6333333333333333
0.0,15,18.02,0.6666666666666666
0.0,16,21.25,0.7666666666666667
0.0,17,21.09,0.43333333333333335
0.0,18,19.41,0.7333333333333333
0.0,19,19.46,0.6666666666666666
0.0,20,18.42,0.6333333333333333
0.0,21,21.53,0.7666666666666667
0.0,22,17.65,0.7
0.0,23,18.29,0.6666666666666666
0.0,24,18.64,0.8
800.0,0,21.13,0.7333333333333333
800.0,1,18.4,0.6666666666666666
800.0,2,19.04,0.6333333333333333
800.0,3,19.04,0.8333333333333334
800.0,4,21.08,0.8
800.0,5,19.96,0.5666666666666667
800.0,6,19.75,0.8333333333333334
800.0,7,19.7,0.6
800.0,8,20.57,0.8666666666666667
800.0,9,20.68,0.7666666666666667
800.0,10,19.82,0.5666666666666667
800.0,11,18.86,0.6333333333333333
800.0,12,19.31,0.8
800.0,13,20.48,0.7666666666666667
800.0,14,19.03,0.6333333333333333
800.0,15,18.02,0.7333333333333333
800.0,16,21.25,0.7666666666666667
800.0,17,21.09,0.5333333333333333
800.0,18,19.41,0.7
800.0,19,19.46,0.6333333333333333
800.0,20,18.42,0.7
800.0,21,21.53,0.8
800.0,22,17.65,0.6
800.0,23,18.29,0.6333333333333333
800.0,24,18.64,0.7
1600.0,0,21.13,0.7666666666666667
1600.0,1,18.4,0.7666666666666667
1600.0,2,19.04,0.5666666666666667
1600.0,3,19.04,0.7666666666666667
1600.0,4,21.08,0.7666666666666667
1600.0,5,19.96,0.4666666666666667
1600.0,6,19.75,0.8333333333333334
1600.0,7,19.7,0.5
1600.0,8,20.57,0.8666666666666667
1600.0,9,20.68,0.7
1600.0,10,19.82,0.4666666666666667
1600.0,11,18.86,0.6
1600.0,12,19.31,0.7333333333333333
1600.0,13,20.48,0.8
1600.0,14,19.03,0.6333333333333333
1600.0,15,18.02,0.7
1600.0,16,21.25,0.8
1600.0,17,21.09,0.6
1600.0,18,19.41,0.7666666666666667
1600.0,19,19.46,0.7333333333333333
1600.0,20,18.42,0.7666666666666667
1600.0,21,21.53,0.7333333333333333
1600.0,22,17.65,0.6666666666666666
1600.0,23,18.29,0.6
1600.0,24,18.64,0.7666666666666667
2500.0,0,21.13,0.7
2500.0,1,18.4,0.6666666666666666
2500.0,2,19.04,0.6333333333333333
2500.0,3,19.04,0.7666666666666667
2500.0,4,21.08,0.7
2500.0,5,19.96,0.5666666666666667
2500.0,6,19.75,0.7666666666666667
2500.0,7,19.7,0.5333333333333333
2500.0,8,20.57,0.8
2500.0,9,20.68,0.8
2500.0,10,19.82,0.5333333333333333
2500.0,11,18.86,0.5
2500.0,12,19.31,0.7666666666666667
2500.0,13,20.48,0.8333333333333334
2500.0,14,19.03,0.6666666666666666
2500.0,15,18.02,0.7666666666666667
2500.0,16,21.25,0.8666666666666667
2500.0,17,21.09,0.4666666666666667
2500.0,18,19.41,0.7666666666666667
2500.0,19,19.46,0.7
2500.0,20,18.42,0.6333333333333333
2500.0,21,21.53,0.8
2500.0,22,17.65,0.6333333333333333
2500.0,23,18.29,0.7
2500.0,24,18.64,0.6666666666666666
